architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
ARM,Non-Crypto,clang,O0,xor_ARM_clang_O0.elf,main,0001107c,Non-Crypto,13,44,33,4,1,0.0625,16.0,1,18,0,0,0,0,208,0.0,0.04014847745819816,0,489,0.17434807630370444,0.004427663800815782,0.1092319358881971,0.0,0.0,0.035720813657382375,0,0,440,6,26,167,0.1423312883435583,5.153534154088642,3.9191277861634157,0.15865384615384615,43
ARM,XOR-CIPHER,clang,O0,xor_ARM_clang_O0.elf,init_inv_sbox,0001140c,XOR-CIPHER,6,7,3,1,1,0.06451612903225806,5.166666666666667,2,5,0,0,0,0,31,0.0,0.04910873440285205,0,101,0.18770796197266784,0.0196078431372549,0.12676767676767678,0.0,0.0,0.029500891265597146,0,0,4,2,5,25,0.0958904109589041,4.2095479242745855,3.9701188371039384,0.0967741935483871,22
ARM,XOR-CIPHER,clang,O0,xor_ARM_clang_O0.elf,rotl8,00011498,XOR-CIPHER,1,0,1,0,0,0.0,15.0,2,1,0,0,0,0,15,0.0,0.1485148514851485,0,73,0.10891089108910891,0.07920792079207921,0.0594059405940594,0.0,0.0,0.06930693069306931,0,0,8,8,7,11,0.0594059405940594,4.401827886878549,4.033207089557396,0.06666666666666667,13
ARM,XOR-CIPHER,clang,O0,xor_ARM_clang_O0.elf,rotr8,000114d4,XOR-CIPHER,1,0,1,0,0,0.0,15.0,2,1,0,0,0,0,15,0.0,0.1485148514851485,0,73,0.10891089108910891,0.07920792079207921,0.0594059405940594,0.0,0.0,0.06930693069306931,0,0,8,8,7,11,0.0594059405940594,4.455913095175824,4.033207089557396,0.06666666666666667,13
ARM,Non-Crypto,clang,O0,xor_ARM_clang_O0.elf,_fini,00011510,Non-Crypto,1,0,1,0,0,0.0,2.0,2,1,0,0,0,0,2,0.0,0.11764705882352941,0,10,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,0,0,0,2,0,6,0.23529411764705882,2.75,2.895423870280316,0.5,1
ARM,Non-Crypto,clang,O1,xor_ARM_clang_O1.elf,_init,00010470,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,0.0,0.10526315789473684,0,10,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,0,0,0,2,0,6,0.21052631578947367,3.2516291673878226,3.010570934268484,0.6666666666666666,2
ARM,Non-Crypto,clang,O1,xor_ARM_clang_O1.elf,_start,00010514,Non-Crypto,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.043478260869565216,0,20,0.13043478260869565,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,0,0,0,2,0,6,0.10869565217391304,4.644106550888952,2.3524566896399377,0.2,14
ARM,Non-Crypto,clang,O1,xor_ARM_clang_O1.elf,call_weak_fn,00010548,Non-Crypto,3,3,2,0,0,0.0,3.3333333333333335,1,4,0,0,0,0,10,0.0,0.07941176470588235,0,36,0.07254901960784314,0.052941176470588235,0.04607843137254902,0.0,0.0,0.026470588235294117,1,0,0,4,2,6,0.07272727272727272,4.5964393446710154,4.072738468960348,0.2,7
ARM,Non-Crypto,clang,O1,xor_ARM_clang_O1.elf,deregister_tm_clones,0001056c,Non-Crypto,4,5,3,0,0,0.15384615384615385,3.25,2,5,0,0,0,0,13,0.0,0.2,0,26,0.1375,0.2,0.05,0.0,0.0,0.0,1,0,0,4,0,8,0.02857142857142857,4.209867121904035,3.1399786482181,0.23076923076923078,9
ARM,Non-Crypto,clang,O1,xor_ARM_clang_O1.elf,register_tm_clones,00010598,Non-Crypto,4,5,3,0,0,0.125,4.0,2,5,0,0,0,0,16,0.0,0.23629032258064517,0,57,0.09435483870967742,0.2120967741935484,0.05,0.0,0.0,0.024193548387096774,1,0,0,7,6,12,0.012987012987012988,4.6534955617749425,3.7275283797403787,0.1875,13
