architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
ARM,Non-Crypto,clang,Os,aes128_ARM_clang_Os.elf,main,000108b8,Non-Crypto,5,15,12,2,2,0.07272727272727272,11.0,1,9,0,0,0,0,55,0.0,0.054954551937863874,0,204,0.12119850624343564,0.007017543859649122,0.07418148104926026,0.0,0.0,0.04793700807821475,False,False,False,False,0,0,72,2,14,54,0.10979228486646884,5.26542492278879,3.8855843899099707,0.21818181818181817,27
ARM,Non-Crypto,clang,Os,aes128_ARM_clang_Os.elf,_fini,000109b0,Non-Crypto,1,0,1,0,0,0.0,2.0,2,1,0,0,0,0,2,0.0,0.11764705882352941,0,10,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.23529411764705882,2.75,2.895423870280316,0.5,1
AVR,Non-Crypto,avr-gcc,O0,aes128_AVR_avr-gcc_O0.elf,__trampolines_start,code:000034,Non-Crypto,1,1,2,0,0,0.0,6.0,1,2,0,0,0,0,6,0.0,0.6428571428571429,0,14,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.2857142857142857,False,False,False,False,0,0,4,10,10,0,0.0,3.4182958340544896,2.164497779200461,0.3333333333333333,5
AVR,Non-Crypto,avr-gcc,O0,aes128_AVR_avr-gcc_O0.elf,__do_copy_data,code:00003a,Non-Crypto,3,4,3,1,1,0.09090909090909091,3.6666666666666665,1,3,0,0,0,0,11,0.0,0.08333333333333333,0,26,0.125,0.010416666666666666,0.125,0.03125,0.0,0.041666666666666664,False,False,False,False,0,0,4,4,4,6,0.058823529411764705,4.004886164091841,3.33972167705526,0.2727272727272727,7
AVR,Non-Crypto,avr-gcc,O0,aes128_AVR_avr-gcc_O0.elf,__do_clear_bss,code:000045,Non-Crypto,4,6,4,1,1,0.2,2.5,1,5,0,0,0,0,10,0.0,0.0625,0,27,0.17708333333333331,0.0078125,0.11458333333333333,0.0234375,0.0,0.03125,False,False,False,False,0,0,4,4,4,7,0.04,4.251629167387823,3.370099379593678,0.4,8
AVR,AES-128,avr-gcc,O0,aes128_AVR_avr-gcc_O0.elf,xtime,code:000053,AES-128,1,0,1,0,0,0.0,26.0,2,1,0,0,0,0,26,0.0,0.09166666666666666,0,67,0.2,0.008333333333333333,0.08333333333333333,0.08333333333333333,0.008333333333333333,0.0,False,False,False,False,0,0,4,11,10,25,0.08333333333333333,4.786790198827112,3.4252532774777564,0.038461538461538464,22
AVR,AES-128,avr-gcc,O0,aes128_AVR_avr-gcc_O0.elf,sub_bytes,code:00006d,AES-128,4,4,2,1,1,0.02,12.5,2,3,0,0,0,0,50,0.0,0.04458647906657515,0,100,0.2910175017158545,0.0017730496453900709,0.22548687371310913,0.026684397163120568,0.0,0.016129032258064516,False,False,False,False,0,0,4,10,11,48,0.15384615384615385,5.124534595855758,3.5607357502586985,0.04,32
AVR,AES-128,avr-gcc,O0,aes128_AVR_avr-gcc_O0.elf,shift_rows,code:00009f,AES-128,1,0,1,0,0,0.0,131.0,2,1,0,0,0,0,131,0.0,0.027426160337552744,0,154,0.19831223628691982,0.0,0.1940928270042194,0.02531645569620253,0.0,0.002109704641350211,False,False,False,False,0,0,4,12,13,94,0.1940928270042194,4.360662004166644,2.8292676954666027,0.007633587786259542,20
AVR,AES-128,avr-gcc,O0,aes128_AVR_avr-gcc_O0.elf,mix_columns,code:000122,AES-128,7,16,11,2,2,0.00967741935483871,44.285714285714285,2,6,0,0,0,0,310,0.0,0.1566606619939078,0,928,0.13171569330647745,0.05694353440646834,0.08781205761973257,0.03862508983040338,0.0,0.061092037757036075,False,False,False,False,0,0,4,154,160,304,0.08637681159420289,5.189869237733977,3.6314077099232613,0.035483870967741936,56
AVR,AES-128,avr-gcc,O0,aes128_AVR_avr-gcc_O0.elf,add_round_key,code:000260,AES-128,4,4,2,1,1,0.017241379310344827,14.5,2,3,0,0,0,0,58,0.0,0.17134906437232017,0,138,0.19001866996053043,0.05952380952380952,0.1313069682255729,0.030891330891330893,0.0,0.08093392395717977,False,False,False,False,0,0,4,26,30,54,0.12411347517730496,5.211869224111257,3.756262480610712,0.034482758620689655,34
