architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O0.elf,sha1_ARM_clang_O0.elf,main,00010bd4,Non-Crypto,4,13,11,1,1,0.056603774,13.25,1,8,0,0,0,0,53,0,0.053708827,0,146,0.160826746,0.02173913,0.096623847,0,0,0.031969697,FALSE,FALSE,FALSE,FALSE,0,0,152,2,8,40,0.102222222,4.61437078,3.962856621,0.20754717,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O0.elf,sha1_ARM_clang_O0.elf,_fini,00010cc0,Non-Crypto,1,0,1,0,0,0,2,2,1,0,0,0,0,2,0,0.117647059,0,10,0.352941176,0.117647059,0.235294118,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,2,0,6,0.235294118,2.75,2.89542387,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O1.elf,sha1_ARM_clang_O1.elf,_init,10410,Non-Crypto,1,1,2,0,0,0,3,1,2,0,0,0,0,3,0,0.105263158,0,10,0.315789474,0.105263158,0.210526316,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,2,0,6,0.210526316,3.251629167,3.010570934,0.666666667,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O1.elf,sha1_ARM_clang_O1.elf,_start,10490,Non-Crypto,1,2,3,0,0,0.066666667,15,1,3,0,0,0,0,15,0,0.043478261,0,20,0.130434783,0.043478261,0.108695652,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,2,0,6,0.108695652,4.598652005,2.35245669,0.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O1.elf,sha1_ARM_clang_O1.elf,call_weak_fn,000104c4,Non-Crypto,3,3,2,0,0,0,3.333333333,1,4,0,0,0,0,10,0,0.079411765,0,36,0.07254902,0.052941176,0.046078431,0,0,0.026470588,FALSE,FALSE,FALSE,FALSE,1,0,0,4,2,6,0.072727273,4.665311532,4.072738469,0.2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O1.elf,sha1_ARM_clang_O1.elf,deregister_tm_clones,1.04E+10,Non-Crypto,4,5,3,0,0,0.153846154,3.25,2,5,0,0,0,0,13,0,0.2,0,26,0.1375,0.2,0.05,0,0,0,FALSE,FALSE,FALSE,FALSE,1,0,0,4,0,8,0.028571429,4.209867122,3.139978648,0.230769231,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O1.elf,sha1_ARM_clang_O1.elf,register_tm_clones,10514,Non-Crypto,4,5,3,0,0,0.125,4,2,5,0,0,0,0,16,0,0.236290323,0,57,0.094354839,0.212096774,0.05,0,0,0.024193548,FALSE,FALSE,FALSE,FALSE,1,0,0,7,6,12,0.012987013,4.653495562,3.72752838,0.1875,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O1.elf,sha1_ARM_clang_O1.elf,__do_global_dtors_aux,10548,Non-Crypto,5,8,5,0,0,0.2,4,2,7,0,0,0,0,20,0,0.071919192,0,30,0.265383244,0.071919192,0.14721331,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,4,0,16,0.140350877,4.680689289,3.145971327,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,SHA-1,clang,O1.elf,sha1_ARM_clang_O1.elf,sha1_transform,0001058c,SHA-1,14,19,7,3,2,0.065217391,6.571428571,2,7,0,0,0,0,92,0,0.148536428,0,355,0.084606189,0.065111564,0.047775165,0.019626272,0,0.063798592,FALSE,FALSE,FALSE,FALSE,0,0,368,38,43,70,0.077634011,5.950167617,4.053129111,0.076086957,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,SHA-1,clang,O1.elf,sha1_ARM_clang_O1.elf,sha1_init,000106fc,SHA-1,1,0,1,0,0,0,21,2,1,0,0,0,0,21,0,0.276923077,0,36,0.215384615,0.184615385,0.184615385,0,0,0.092307692,FALSE,FALSE,FALSE,FALSE,0,0,0,12,6,14,0.184615385,5.025082478,3.484638129,0.047619048,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
