architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,mt_init,000111c0,PRNG,4,4,2,1,1,0.034482758620689655,7.25,2,3,0,0,0,0,29,0.0,0.11474054268171915,0,83,0.17741632006337887,0.04759358288770053,0.11936026936026936,0.004545454545454545,0.004545454545454545,0.06260150524856407,False,False,False,False,0,0,8,7,10,25,0.1322314049586777,4.719574853331783,4.106811231167847,0.06896551724137931,21
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,mt_next,00011234,PRNG,9,11,4,2,1,0.02586206896551724,12.88888888888889,2,7,0,0,0,0,116,0.0,0.09476247714922496,0,329,0.169603098347627,0.02823387068075869,0.12441207443520527,0.010137506639410486,0.0,0.05639109982905577,False,False,False,False,0,0,12,40,55,96,0.13465346534653466,4.6719108440259856,3.9680981702774614,0.034482758620689655,31
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,prng_init,0001141c,PRNG,11,19,10,1,1,0.0958904109589041,6.636363636363637,2,14,0,0,0,0,73,0.0,0.08957658503113049,0,266,0.19107369902824448,0.03779932189023098,0.14555911260456714,0.0,0.0,0.051777263140899504,False,False,False,False,0,0,64,20,31,62,0.08557457212713937,5.119064483059716,4.140862331722326,0.136986301369863,43
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,prng_next,00011550,PRNG,9,19,12,0,0,0.1111111111111111,6.0,2,13,0,0,0,0,54,0.0,0.08580690891136278,0,131,0.19864777910907286,0.03409090909090909,0.1574628142761759,0.0,0.0,0.05171599982045369,False,False,False,False,0,0,32,4,10,43,0.1461187214611872,4.521677729398732,4.010565392567096,0.2222222222222222,23
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,prng_bytes,00011638,PRNG,7,10,5,1,1,0.06976744186046512,6.142857142857143,2,5,0,0,0,0,43,0.0,0.038851595842477306,0,96,0.23539181320336336,0.023809523809523808,0.1827323214861209,0.0,0.0,0.01504207203295349,False,False,False,False,0,0,40,2,4,36,0.16666666666666666,4.4150768627872266,3.938685317781427,0.11627906976744186,27
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,prng_range,000116e4,PRNG,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.058823529411764705,0,27,0.2549019607843137,0.0392156862745098,0.19607843137254902,0.0,0.0,0.0196078431372549,False,False,False,False,0,0,24,2,1,13,0.19607843137254902,4.581727678869735,3.558653699483952,0.2,12
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,prng_double,00011720,PRNG,1,2,3,0,0,0.08333333333333333,12.0,1,3,0,0,0,0,12,0.0,0.1,0,27,0.24,0.06,0.14,0.0,0.0,0.04,False,False,False,False,0,0,12,3,2,12,0.14,4.952368167875319,3.8830741894285685,0.25,11
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,main,00011758,Non-Crypto,19,47,30,6,1,0.09230769230769231,10.263157894736842,2,15,0,0,0,0,195,0.0,0.05036090747063762,0,578,0.15704356488626503,0.007604964124538527,0.09300272383275514,0.0,0.0,0.04275594334609909,False,False,False,False,0,0,5176,8,44,144,0.09703196347031963,5.302378324479582,4.045438845563152,0.15384615384615385,63
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__aeabi_drsub,00011ab8,Non-Crypto,1,1,2,0,0,0.0,2.0,1,2,0,0,0,0,2,0.0,0.2222222222222222,0,5,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False,False,False,0,0,0,1,2,0,0.0,2.584962500721156,2.6416041678685933,1.0,1
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__subdf3,00011ac0,Non-Crypto,1,1,2,0,0,0.0,1.0,1,2,0,0,0,0,1,0.0,0.25,0,5,0.0,0.0,0.0,0.125,0.0,0.125,False,False,False,False,0,0,0,1,2,0,0.0,2.0,2.4056390622295662,2.0,0
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__aeabi_dadd,00011ac4,Non-Crypto,41,51,12,0,0,0.0891089108910891,4.926829268292683,9,41,0,0,0,0,202,0.0,0.13075052776850327,0,1243,0.08659385213762083,0.05736130174431688,0.021013990645294824,0.014132107136153614,0.0,0.05925711888803277,False,False,False,False,0,0,0,135,127,161,0.02280701754385965,6.068850753855016,4.095177492876991,0.0594059405940594,174
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__aeabi_ui2d,00011d3c,Non-Crypto,2,2,2,0,0,0.0,5.0,1,3,0,0,0,0,10,0.0,0.08705357142857142,0,39,0.0625,0.047619047619047616,0.046875,0.023809523809523808,0.0,0.015625,False,False,False,False,0,0,0,3,2,4,0.05660377358490566,4.164735178725505,3.3879922788228862,0.2,9
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__floatsidf,00011d5c,Non-Crypto,2,2,2,0,0,0.0,6.0,1,3,0,0,0,0,12,0.0,0.10551948051948051,0,51,0.056818181818181816,0.058982683982683984,0.03409090909090909,0.023809523809523808,0.0,0.022727272727272728,False,False,False,False,0,0,0,4,3,5,0.046153846153846156,4.454822399946606,3.5659420012032275,0.16666666666666666,11
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__extendsfdf2,00011d80,Non-Crypto,4,4,2,0,0,0.0,5.25,1,5,0,0,0,0,21,0.0,0.21541305916305917,0,115,0.03530844155844155,0.11002886002886003,0.026785714285714284,0.01494107744107744,0.0,0.09044312169312169,False,False,False,False,0,0,0,21,20,6,0.018633540372670808,4.678018218337485,3.80616797886733,0.09523809523809523,20
